{'Decanus': 42.72, 'Legatus legionis': 1.01, 'Decurion': 25.96, 'Centurion': 15.58, 'Praefectus castrorum': 5.8, 'Tribunus laticlavius': 1.92, 'Pilus prior': 8.2}
{'Gold Car Paint': 14.39, 'Red Car Paint': 14.81, 'Purple Car Paint': 14.39, 'Green Car Paint': 14.5, 'Black Car Paint': 14.68, 'Yellow Car Paint': 14.08, 'Blue Car Paint': 14.34}
{'Carbon Fiber': 11.55, 'Digital Camo': 7.92, 'MSMC Copper Matte': 8.08, 'TitaniumBlk': 12.17, 'Lambo Gold': 1.18, 'Cosmic Blue': 12.2, 'Matte Black': 12.62, 'Trippy Black/Red': 2.34, 'Trippy Yellow': 2.2, 'MSMC Copper Liquid': 7.85, 'Ice': 1.24, 'Holographic': 8.13, 'Lava': 2.33, 'Neon': 2.04, 'Hot Pink': 2.41, 'Trippy Red/Black': 2.38, 'Fire': 1.0, 'Electric': 1.17, 'Trippy Black/White': 2.38}
{'Guardian 1 / BASE': 42.03, 'Guardian 5 / WINGS': 5.59, 'Guardian 3': 16.57, 'Guardian 2': 25.45, 'Guardian 4': 11.55}
{'Daft Punk': 1.22, 'Green Eyes': 10.87, 'KILL Text': 6.22, 'X_X': 6.75, 'xD': 6.56, 'Blue Skull': 5.03, '$': 5.15, 'Blue Eyes': 10.37, 'Red Skull': 3.44, ':)': 6.57, 'o_o': 6.83, 'Heart': 7.24, 'SOL Symbol': 4.74, 'Mask': 2.31, 'Target': 2.44, 'Red Eyes': 10.76, 'Green Skull': 4.69}
1: Decanus, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Daft Punk, No Weapon
6303: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 3, X_X, Katana
6304: Decanus, Yellow Car Paint, Digital Camo, Guardian 1 / BASE, Red Skull, Sniper
6305: Decanus, Red Car Paint, Matte Black, Guardian 4, Heart, Katana
6306: Decanus, Green Car Paint, Holographic, Guardian 4, Green Eyes, No Weapon
6307: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 2, Blue Eyes, Sniper
6308: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 2, X_X, No Weapon
6309: Centurion, Purple Car Paint, Carbon Fiber, Guardian 2, Red Skull, Fire Sniper
6310: Decanus, Black Car Paint, Neon, Guardian 4, Blue Skull, Ice Sniper
6311: Decanus, Yellow Car Paint, Neon, Guardian 1 / BASE, SOL Symbol, Fire Katana
6312: Centurion, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Red Eyes, Electric Katana
6313: Decanus, Black Car Paint, Carbon Fiber, Guardian 2, Blue Eyes, Sniper
6314: Decanus, Blue Car Paint, Cosmic Blue, Guardian 2, Blue Eyes, No Weapon
6315: Decanus, Purple Car Paint, Matte Black, Guardian 5 / WINGS, Blue Eyes, Katana
6316: Decurion, Yellow Car Paint, Hot Pink, Guardian 2, Red Eyes, Sniper
6317: Centurion, Gold Car Paint, Holographic, Guardian 1 / BASE, X_X, No Weapon
6318: Decurion, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Skull, No Weapon
6319: Decanus, Yellow Car Paint, Neon, Guardian 2, :), No Weapon
6320: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 2, Mask, Ice Sniper
6321: Decurion, Purple Car Paint, Carbon Fiber, Guardian 3, X_X, Electric Sniper
6322: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 3, $, Katana
6323: Decurion, Purple Car Paint, Trippy Black/White, Guardian 2, xD, No Weapon
6324: Praefectus castrorum, Gold Car Paint, Carbon Fiber, Guardian 4, Heart, No Weapon
6325: Centurion, Yellow Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Eyes, No Weapon
6326: Centurion, Red Car Paint, TitaniumBlk, Guardian 2, Red Skull, No Weapon
6327: Centurion, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, Green Eyes, Sniper
6328: Decanus, Gold Car Paint, Digital Camo, Guardian 1 / BASE, Red Eyes, Sniper
6329: Decurion, Green Car Paint, Matte Black, Guardian 1 / BASE, KILL Text, No Weapon
6330: Decurion, Black Car Paint, Trippy Yellow, Guardian 2, Green Eyes, No Weapon
6331: Legatus legionis, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Skull, No Weapon
6332: Decanus, Black Car Paint, Trippy Red/Black, Guardian 1 / BASE, xD, Katana
6333: Decanus, Purple Car Paint, Trippy Black/Red, Guardian 2, Blue Eyes, No Weapon
6334: Decurion, Purple Car Paint, Holographic, Guardian 1 / BASE, SOL Symbol, No Weapon
6335: Legatus legionis, Red Car Paint, Trippy Red/Black, Guardian 2, :), Electric Katana
6336: Decanus, Red Car Paint, Cosmic Blue, Guardian 3, Green Eyes, No Weapon
6337: Decurion, Yellow Car Paint, Trippy Black/Red, Guardian 4, KILL Text, Katana
6338: Decurion, Green Car Paint, TitaniumBlk, Guardian 5 / WINGS, Red Eyes, No Weapon
6339: Decurion, Gold Car Paint, Matte Black, Guardian 2, xD, No Weapon
6340: Decurion, Gold Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Eyes, No Weapon
6341: Decanus, Green Car Paint, Trippy Red/Black, Guardian 1 / BASE, Heart, Electric Sniper
6342: Decanus, Blue Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Blue Eyes, No Weapon
6343: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 4, Blue Eyes, Katana
6344: Decurion, Blue Car Paint, Matte Black, Guardian 1 / BASE, xD, Electric Sniper
6345: Tribunus laticlavius, Blue Car Paint, Cosmic Blue, Guardian 4, :), No Weapon
6346: Decurion, Blue Car Paint, Cosmic Blue, Guardian 5 / WINGS, Red Eyes, No Weapon
6347: Centurion, Black Car Paint, Trippy Red/Black, Guardian 1 / BASE, Red Eyes, No Weapon
6348: Centurion, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, :), No Weapon
6349: Decanus, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Target, No Weapon
6350: Decanus, Green Car Paint, MSMC Copper Matte, Guardian 2, Blue Skull, No Weapon
6351: Praefectus castrorum, Yellow Car Paint, Digital Camo, Guardian 4, Green Eyes, Katana
6352: Decurion, Red Car Paint, Holographic, Guardian 3, X_X, No Weapon
6353: Decanus, Purple Car Paint, TitaniumBlk, Guardian 1 / BASE, :), Ice Katana
6354: Decanus, Red Car Paint, Fire, Guardian 2, Red Eyes, No Weapon
6355: Centurion, Green Car Paint, Digital Camo, Guardian 4, Green Eyes, No Weapon
6356: Decurion, Gold Car Paint, MSMC Copper Matte, Guardian 3, Red Eyes, No Weapon
6357: Decanus, Purple Car Paint, Digital Camo, Guardian 2, :), Sniper
6358: Decanus, Green Car Paint, MSMC Copper Liquid, Guardian 3, Red Eyes, Fire Sniper
6359: Decanus, Green Car Paint, Digital Camo, Guardian 3, Red Eyes, No Weapon
6360: Decanus, Purple Car Paint, Hot Pink, Guardian 1 / BASE, Red Eyes, No Weapon
6361: Tribunus laticlavius, Black Car Paint, Neon, Guardian 2, Red Eyes, No Weapon
6362: Decanus, Black Car Paint, Cosmic Blue, Guardian 2, Heart, No Weapon
6363: Centurion, Green Car Paint, Matte Black, Guardian 1 / BASE, X_X, Electric Katana
6364: Pilus prior, Yellow Car Paint, MSMC Copper Liquid, Guardian 2, Blue Eyes, No Weapon
6365: Decanus, Black Car Paint, Holographic, Guardian 1 / BASE, o_o, No Weapon
6366: Decanus, Black Car Paint, Trippy Black/Red, Guardian 4, Green Eyes, No Weapon
6367: Decanus, Yellow Car Paint, Trippy Black/White, Guardian 1 / BASE, Green Eyes, No Weapon
6368: Decurion, Gold Car Paint, TitaniumBlk, Guardian 3, :), Sniper
6369: Decanus, Red Car Paint, Lava, Guardian 3, Blue Eyes, No Weapon
6370: Decanus, Gold Car Paint, TitaniumBlk, Guardian 5 / WINGS, xD, No Weapon
6371: Decurion, Gold Car Paint, Ice, Guardian 2, X_X, No Weapon
6372: Praefectus castrorum, Blue Car Paint, Holographic, Guardian 2, Red Eyes, No Weapon
6373: Centurion, Blue Car Paint, Matte Black, Guardian 2, Red Skull, No Weapon
6374: Centurion, Gold Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Eyes, Sniper
6375: Decanus, Green Car Paint, TitaniumBlk, Guardian 5 / WINGS, Blue Eyes, Katana
6376: Decanus, Yellow Car Paint, Cosmic Blue, Guardian 3, xD, No Weapon
6377: Pilus prior, Green Car Paint, Cosmic Blue, Guardian 1 / BASE, Target, Sniper
6378: Centurion, Yellow Car Paint, MSMC Copper Matte, Guardian 1 / BASE, $, Katana
6379: Decurion, Green Car Paint, Trippy Yellow, Guardian 2, SOL Symbol, No Weapon
6380: Pilus prior, Green Car Paint, TitaniumBlk, Guardian 4, KILL Text, No Weapon
6381: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 3, SOL Symbol, No Weapon
6382: Decurion, Yellow Car Paint, Neon, Guardian 1 / BASE, xD, No Weapon
6383: Centurion, Purple Car Paint, Trippy Red/Black, Guardian 1 / BASE, Blue Skull, Fire Sniper
6384: Decanus, Green Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, Katana
6385: Praefectus castrorum, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, Red Skull, No Weapon
6386: Pilus prior, Green Car Paint, Holographic, Guardian 1 / BASE, :), No Weapon
6387: Tribunus laticlavius, Green Car Paint, Digital Camo, Guardian 3, Target, No Weapon
6388: Decurion, Green Car Paint, Ice, Guardian 4, KILL Text, No Weapon
6389: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, Blue Eyes, No Weapon
6390: Decanus, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Skull, No Weapon
6391: Decurion, Yellow Car Paint, Matte Black, Guardian 4, Green Skull, No Weapon
6392: Decurion, Gold Car Paint, Carbon Fiber, Guardian 2, Red Eyes, No Weapon
6393: Centurion, Blue Car Paint, Carbon Fiber, Guardian 5 / WINGS, xD, No Weapon
6394: Decanus, Purple Car Paint, Trippy Black/Red, Guardian 2, SOL Symbol, No Weapon
6395: Decanus, Black Car Paint, Cosmic Blue, Guardian 5 / WINGS, Blue Eyes, Katana
6396: Pilus prior, Green Car Paint, Hot Pink, Guardian 1 / BASE, KILL Text, Sniper
6397: Decanus, Red Car Paint, Matte Black, Guardian 3, X_X, Katana
6398: Decurion, Green Car Paint, TitaniumBlk, Guardian 5 / WINGS, Blue Skull, No Weapon
6399: Pilus prior, Black Car Paint, Matte Black, Guardian 3, Red Skull, No Weapon
6400: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, SOL Symbol, No Weapon
6401: Pilus prior, Green Car Paint, Matte Black, Guardian 1 / BASE, :), Katana
6402: Pilus prior, Green Car Paint, Digital Camo, Guardian 1 / BASE, :), Ice Sniper
6403: Decanus, Black Car Paint, Cosmic Blue, Guardian 2, Green Skull, No Weapon
6404: Decanus, Red Car Paint, Digital Camo, Guardian 3, Mask, No Weapon
6405: Decurion, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Skull, Katana
6406: Centurion, Gold Car Paint, Holographic, Guardian 1 / BASE, Green Eyes, No Weapon
6407: Centurion, Blue Car Paint, Holographic, Guardian 2, Green Eyes, No Weapon
6408: Decanus, Blue Car Paint, Carbon Fiber, Guardian 1 / BASE, KILL Text, No Weapon
6409: Decurion, Purple Car Paint, Cosmic Blue, Guardian 1 / BASE, $, No Weapon
6410: Praefectus castrorum, Black Car Paint, MSMC Copper Liquid, Guardian 3, Heart, No Weapon
6411: Decurion, Red Car Paint, Holographic, Guardian 4, Heart, Ice Sniper
6412: Centurion, Green Car Paint, Lava, Guardian 1 / BASE, Green Skull, No Weapon
6413: Centurion, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, KILL Text, No Weapon
6414: Decanus, Yellow Car Paint, Neon, Guardian 3, Red Eyes, No Weapon
6415: Decurion, Black Car Paint, Cosmic Blue, Guardian 1 / BASE, Red Skull, No Weapon
6416: Decurion, Blue Car Paint, Neon, Guardian 1 / BASE, X_X, Fire Katana
6417: Pilus prior, Gold Car Paint, Cosmic Blue, Guardian 2, Blue Skull, No Weapon
6418: Decurion, Red Car Paint, Matte Black, Guardian 3, Target, Katana
6419: Decanus, Purple Car Paint, Matte Black, Guardian 1 / BASE, X_X, No Weapon
6420: Pilus prior, Black Car Paint, Holographic, Guardian 1 / BASE, Blue Eyes, No Weapon
6421: Decanus, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, SOL Symbol, No Weapon
6422: Centurion, Purple Car Paint, Matte Black, Guardian 1 / BASE, Red Eyes, No Weapon
6423: Decurion, Purple Car Paint, Electric, Guardian 3, KILL Text, No Weapon
6424: Decurion, Gold Car Paint, Trippy Yellow, Guardian 3, X_X, No Weapon
6425: Centurion, Black Car Paint, Carbon Fiber, Guardian 2, Blue Eyes, Katana
6426: Decurion, Green Car Paint, Matte Black, Guardian 2, Red Eyes, No Weapon
6427: Decanus, Blue Car Paint, Lava, Guardian 1 / BASE, o_o, Electric Sniper
6428: Centurion, Green Car Paint, Electric, Guardian 2, Blue Skull, No Weapon
6429: Centurion, Gold Car Paint, MSMC Copper Matte, Guardian 2, Red Eyes, No Weapon
6430: Decurion, Blue Car Paint, Lambo Gold, Guardian 1 / BASE, o_o, Katana
6431: Decanus, Blue Car Paint, Carbon Fiber, Guardian 2, KILL Text, No Weapon
6432: Pilus prior, Purple Car Paint, Matte Black, Guardian 2, Heart, No Weapon
6433: Decanus, Yellow Car Paint, Trippy Yellow, Guardian 2, Red Eyes, Sniper
6434: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 2, KILL Text, Fire Katana
6435: Decanus, Blue Car Paint, Cosmic Blue, Guardian 1 / BASE, Heart, Ice Sniper
6436: Decanus, Red Car Paint, Neon, Guardian 1 / BASE, Blue Eyes, Ice Sniper
6437: Decurion, Black Car Paint, MSMC Copper Liquid, Guardian 2, Green Eyes, Sniper
6438: Decanus, Red Car Paint, Matte Black, Guardian 4, KILL Text, Fire Sniper
6439: Decanus, Green Car Paint, Matte Black, Guardian 2, $, No Weapon
6440: Decanus, Gold Car Paint, MSMC Copper Matte, Guardian 3, Blue Skull, Katana
6441: Decanus, Blue Car Paint, Holographic, Guardian 1 / BASE, Red Eyes, No Weapon
6442: Decanus, Purple Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Eyes, No Weapon
6443: Pilus prior, Yellow Car Paint, MSMC Copper Matte, Guardian 1 / BASE, o_o, No Weapon
6444: Praefectus castrorum, Red Car Paint, Holographic, Guardian 1 / BASE, KILL Text, Katana
6445: Decanus, Red Car Paint, Cosmic Blue, Guardian 1 / BASE, KILL Text, Electric Sniper
6446: Decanus, Green Car Paint, TitaniumBlk, Guardian 3, Blue Eyes, No Weapon
6447: Decanus, Green Car Paint, Trippy Black/Red, Guardian 2, SOL Symbol, No Weapon
6448: Decanus, Gold Car Paint, Carbon Fiber, Guardian 2, SOL Symbol, Ice Katana
6449: Praefectus castrorum, Purple Car Paint, Lava, Guardian 1 / BASE, SOL Symbol, Sniper
6450: Decanus, Gold Car Paint, Matte Black, Guardian 3, Red Skull, No Weapon
6451: Decanus, Green Car Paint, Fire, Guardian 1 / BASE, Target, No Weapon
6452: Decanus, Red Car Paint, Matte Black, Guardian 3, xD, Ice Sniper
6453: Praefectus castrorum, Yellow Car Paint, TitaniumBlk, Guardian 2, Red Eyes, No Weapon
6454: Praefectus castrorum, Green Car Paint, Neon, Guardian 1 / BASE, Mask, No Weapon
6455: Decanus, Black Car Paint, Cosmic Blue, Guardian 4, Green Eyes, No Weapon
6456: Decurion, Purple Car Paint, Trippy Black/Red, Guardian 1 / BASE, SOL Symbol, No Weapon
6457: Decanus, Green Car Paint, Hot Pink, Guardian 2, o_o, No Weapon
6458: Praefectus castrorum, Yellow Car Paint, TitaniumBlk, Guardian 3, Red Skull, No Weapon
6459: Decanus, Red Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Red Eyes, Katana
6460: Decanus, Black Car Paint, Trippy Black/White, Guardian 1 / BASE, Green Eyes, No Weapon
6461: Decurion, Yellow Car Paint, Cosmic Blue, Guardian 4, :), Ice Sniper
6462: Tribunus laticlavius, Red Car Paint, Trippy Black/White, Guardian 2, KILL Text, No Weapon
6463: Centurion, Green Car Paint, Carbon Fiber, Guardian 2, KILL Text, No Weapon
6464: Decanus, Gold Car Paint, Cosmic Blue, Guardian 1 / BASE, Target, No Weapon
6465: Decurion, Green Car Paint, TitaniumBlk, Guardian 2, Blue Eyes, No Weapon
6466: Pilus prior, Green Car Paint, Trippy Red/Black, Guardian 5 / WINGS, KILL Text, No Weapon
6467: Decanus, Red Car Paint, Trippy Black/White, Guardian 1 / BASE, xD, No Weapon
6468: Decurion, Gold Car Paint, Neon, Guardian 1 / BASE, Heart, No Weapon
6469: Centurion, Yellow Car Paint, Carbon Fiber, Guardian 5 / WINGS, Green Eyes, No Weapon
6470: Decurion, Gold Car Paint, Matte Black, Guardian 1 / BASE, SOL Symbol, Sniper
6471: Centurion, Blue Car Paint, Carbon Fiber, Guardian 3, o_o, No Weapon
6472: Decurion, Purple Car Paint, Carbon Fiber, Guardian 3, $, No Weapon
6473: Decurion, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Eyes, Electric Katana
6474: Decanus, Yellow Car Paint, Holographic, Guardian 4, Green Eyes, Katana
6475: Decanus, Blue Car Paint, Carbon Fiber, Guardian 4, Blue Skull, No Weapon
6476: Decurion, Red Car Paint, Holographic, Guardian 1 / BASE, Mask, Katana
6477: Decanus, Red Car Paint, Digital Camo, Guardian 3, Red Skull, No Weapon
6478: Praefectus castrorum, Yellow Car Paint, MSMC Copper Matte, Guardian 2, Red Eyes, No Weapon
6479: Decurion, Green Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Eyes, No Weapon
6480: Decurion, Red Car Paint, MSMC Copper Matte, Guardian 2, $, No Weapon
6481: Decurion, Black Car Paint, Neon, Guardian 2, Heart, No Weapon
6482: Decanus, Gold Car Paint, MSMC Copper Liquid, Guardian 2, Green Eyes, Fire Sniper
6483: Centurion, Green Car Paint, Matte Black, Guardian 1 / BASE, xD, No Weapon
6484: Tribunus laticlavius, Yellow Car Paint, Matte Black, Guardian 5 / WINGS, Red Eyes, No Weapon
6485: Centurion, Blue Car Paint, Digital Camo, Guardian 1 / BASE, Blue Eyes, No Weapon
6486: Decanus, Black Car Paint, Digital Camo, Guardian 2, Mask, No Weapon
6487: Decanus, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, Red Eyes, Ice Sniper
6488: Decanus, Green Car Paint, TitaniumBlk, Guardian 2, SOL Symbol, No Weapon
6489: Centurion, Gold Car Paint, Neon, Guardian 2, $, Katana
6490: Decurion, Green Car Paint, Hot Pink, Guardian 2, Blue Eyes, Fire Sniper
6491: Centurion, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, xD, Electric Katana
6492: Pilus prior, Red Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Green Eyes, Ice Sniper
6493: Decanus, Blue Car Paint, Hot Pink, Guardian 1 / BASE, :), Sniper
6494: Decurion, Blue Car Paint, Holographic, Guardian 2, Blue Skull, Electric Sniper
6495: Pilus prior, Black Car Paint, Carbon Fiber, Guardian 2, SOL Symbol, No Weapon
6496: Decanus, Gold Car Paint, Holographic, Guardian 1 / BASE, Daft Punk, No Weapon
6497: Decurion, Yellow Car Paint, Cosmic Blue, Guardian 2, o_o, No Weapon
6498: Decanus, Yellow Car Paint, Carbon Fiber, Guardian 3, Red Eyes, No Weapon
6499: Decanus, Red Car Paint, Matte Black, Guardian 4, Green Skull, Sniper
6500: Decanus, Blue Car Paint, Holographic, Guardian 3, Blue Eyes, Katana
6501: Centurion, Green Car Paint, MSMC Copper Liquid, Guardian 2, Blue Skull, No Weapon
6502: Praefectus castrorum, Black Car Paint, TitaniumBlk, Guardian 1 / BASE, X_X, Sniper
6503: Decanus, Yellow Car Paint, Neon, Guardian 2, Red Eyes, Sniper
6504: Centurion, Yellow Car Paint, Matte Black, Guardian 2, Blue Eyes, No Weapon
6505: Centurion, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, Blue Skull, No Weapon
6506: Decanus, Blue Car Paint, TitaniumBlk, Guardian 2, Blue Eyes, Electric Sniper
6507: Centurion, Yellow Car Paint, Hot Pink, Guardian 2, Red Skull, No Weapon
6508: Decurion, Blue Car Paint, Hot Pink, Guardian 1 / BASE, :), No Weapon
6509: Tribunus laticlavius, Red Car Paint, MSMC Copper Matte, Guardian 3, o_o, No Weapon
6510: Decanus, Black Car Paint, Cosmic Blue, Guardian 3, Red Eyes, No Weapon
6511: Decanus, Red Car Paint, Holographic, Guardian 3, Blue Eyes, Electric Katana
6512: Decanus, Green Car Paint, Hot Pink, Guardian 4, :), No Weapon
6513: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 4, Green Eyes, No Weapon
6514: Centurion, Green Car Paint, Matte Black, Guardian 4, Mask, No Weapon
6515: Pilus prior, Black Car Paint, Holographic, Guardian 4, Green Skull, No Weapon
6516: Legatus legionis, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, :), Electric Katana
6517: Legatus legionis, Blue Car Paint, Matte Black, Guardian 1 / BASE, Green Skull, Katana
6518: Praefectus castrorum, Yellow Car Paint, Carbon Fiber, Guardian 1 / BASE, Green Eyes, Elemental Sniper X
6519: Decurion, Blue Car Paint, TitaniumBlk, Guardian 2, Green Eyes, Katana
6520: Pilus prior, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, KILL Text, No Weapon
6521: Decanus, Yellow Car Paint, TitaniumBlk, Guardian 5 / WINGS, X_X, No Weapon
6522: Pilus prior, Gold Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, SOL Symbol, Katana
6523: Pilus prior, Gold Car Paint, Neon, Guardian 5 / WINGS, Heart, No Weapon
6524: Decanus, Purple Car Paint, MSMC Copper Matte, Guardian 1 / BASE, xD, No Weapon
6525: Praefectus castrorum, Yellow Car Paint, Digital Camo, Guardian 3, xD, Fire Katana
6526: Pilus prior, Gold Car Paint, Matte Black, Guardian 2, Mask, Katana
6527: Decurion, Black Car Paint, Cosmic Blue, Guardian 2, SOL Symbol, No Weapon
6528: Decurion, Purple Car Paint, TitaniumBlk, Guardian 4, Red Eyes, Sniper
6529: Centurion, Blue Car Paint, TitaniumBlk, Guardian 1 / BASE, Red Eyes, Fire Katana
6530: Decurion, Gold Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Eyes, Fire Sniper
6531: Decurion, Gold Car Paint, Cosmic Blue, Guardian 2, o_o, Katana
6532: Decurion, Green Car Paint, MSMC Copper Matte, Guardian 3, KILL Text, Katana
6533: Centurion, Green Car Paint, Cosmic Blue, Guardian 3, X_X, Sniper
6534: Centurion, Red Car Paint, Matte Black, Guardian 3, Green Eyes, No Weapon
6535: Pilus prior, Yellow Car Paint, TitaniumBlk, Guardian 1 / BASE, Green Skull, No Weapon
6536: Pilus prior, Gold Car Paint, Carbon Fiber, Guardian 4, Heart, No Weapon
6537: Decanus, Blue Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, X_X, No Weapon
6538: Decurion, Yellow Car Paint, MSMC Copper Matte, Guardian 3, X_X, No Weapon
6539: Centurion, Blue Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, xD, Sniper
6540: Decanus, Black Car Paint, Carbon Fiber, Guardian 1 / BASE, Red Eyes, Electric Sniper
6541: Decurion, Blue Car Paint, Trippy Red/Black, Guardian 1 / BASE, KILL Text, Fire Katana
6542: Praefectus castrorum, Yellow Car Paint, MSMC Copper Matte, Guardian 2, SOL Symbol, Fire Sniper
6543: Decurion, Yellow Car Paint, Hot Pink, Guardian 3, X_X, Ice Sniper
6544: Praefectus castrorum, Purple Car Paint, Carbon Fiber, Guardian 1 / BASE, Blue Skull, No Weapon
6545: Tribunus laticlavius, Yellow Car Paint, MSMC Copper Matte, Guardian 4, $, Katana
6546: Pilus prior, Green Car Paint, MSMC Copper Matte, Guardian 1 / BASE, Blue Eyes, Katana
6547: Pilus prior, Blue Car Paint, MSMC Copper Matte, Guardian 5 / WINGS, :), No Weapon
6548: Centurion, Blue Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Heart, Electric Katana
6549: Decanus, Purple Car Paint, Trippy Yellow, Guardian 1 / BASE, o_o, No Weapon
6550: Decanus, Green Car Paint, Hot Pink, Guardian 1 / BASE, Blue Skull, Ice Sniper
6551: Decurion, Purple Car Paint, Matte Black, Guardian 4, X_X, No Weapon
6552: Decurion, Red Car Paint, Lava, Guardian 1 / BASE, X_X, Katana
6553: Decurion, Blue Car Paint, TitaniumBlk, Guardian 4, Blue Eyes, Sniper
6554: Centurion, Black Car Paint, TitaniumBlk, Guardian 2, Heart, Flamethrower X
6555: Centurion, Purple Car Paint, Lambo Gold, Guardian 1 / BASE, KILL Text, Sniper
6556: Decanus, Black Car Paint, Matte Black, Guardian 3, Blue Eyes, Ice Sniper
6557: Decanus, Black Car Paint, TitaniumBlk, Guardian 4, Red Eyes, Katana
6558: Decanus, Black Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Green Eyes, No Weapon
6559: Decanus, Black Car Paint, Neon, Guardian 2, Blue Eyes, No Weapon
6560: Decanus, Black Car Paint, Holographic, Guardian 1 / BASE, Target, No Weapon
6561: Decanus, Gold Car Paint, Digital Camo, Guardian 1 / BASE, Green Eyes, No Weapon
6562: Decurion, Black Car Paint, MSMC Copper Matte, Guardian 3, Green Eyes, Ice Sniper
6563: Decanus, Blue Car Paint, Matte Black, Guardian 1 / BASE, Green Eyes, Electric Sniper
6564: Decurion, Purple Car Paint, Matte Black, Guardian 2, SOL Symbol, No Weapon
6565: Decurion, Blue Car Paint, Trippy Black/White, Guardian 1 / BASE, Target, Sniper
6566: Pilus prior, Yellow Car Paint, Trippy Black/Red, Guardian 1 / BASE, Target, No Weapon
6567: Decanus, Blue Car Paint, Cosmic Blue, Guardian 2, Green Skull, No Weapon
6568: Praefectus castrorum, Yellow Car Paint, MSMC Copper Liquid, Guardian 1 / BASE, Blue Eyes, Fire Sniper
